rank,region_id,region_name,state,city,metro,county_name,current_value,appreciation_pct,appreciation_score,velocity_score,distress_score,pricing_power_score,value_gap_score,composite_score,days_to_pending,price_cut_pct,sale_to_list,value_gap_pct,strategy
69,75194,39179,MS,Vaughan,"Jackson, MS",Yazoo County,150860.6752214018,10.119859827293514,100.0,58.55720240852244,57.76438516843895,65.36161760526139,56.223922930985815,69.19668076850182,55.333333333333336,24.6691099657428,0.98279648836201,212.88314324661854,Value-Add Flip
70,76622,43314,OH,Caledonia,"Marion, OH",Marion County,225895.88625249465,6.118860802315009,88.15438758087471,97.92728114867994,100.0,,19.840944687846413,69.18792523948227,27.0,31.874184941010743,,59.53110376416123,Value-Add Flip
71,79311,48655,MI,Saint Charles,"Saginaw, MI",Saginaw County,192029.3567219936,7.2975234529254225,95.77390632712705,88.20055581287633,66.24754293323345,,45.00506844809853,69.17433565238453,34.0,25.90957070512428,,165.5963542402213,Value-Add Flip
72,77933,46050,IN,Kirklin,"Frankfort, IN",Clinton County,256453.59811415776,5.977812362323091,87.24257347351202,98.853635942566,100.0,,19.90174545049916,69.1141251223877,26.333333333333332,35.8062459356185,,59.78737527916965,Value-Add Flip
73,86794,65350,MO,Smithton,"Sedalia, MO",Pettis County,247261.24373172183,12.452371686506833,100.0,67.82075034738304,86.47611161569368,,36.432353459808176,69.07642324019824,48.666666666666664,28.867519379450464,,129.4628821926422,Value-Add Flip
74,86780,65332,MO,Green Ridge,"Sedalia, MO",Pettis County,270697.7067340655,9.949987925435568,100.0,67.82075034738304,86.47611161569368,,36.432353459808176,69.07642324019824,48.666666666666664,28.867519379450464,,129.4628821926422,Value-Add Flip
75,86790,65345,MO,Mora,"Sedalia, MO",Pettis County,360957.1755418039,14.880339986375127,100.0,67.82075034738304,86.47611161569368,,36.432353459808176,69.07642324019824,48.666666666666664,28.867519379450464,,129.4628821926422,Value-Add Flip
76,86782,65334,MO,Hughesville,"Sedalia, MO",Pettis County,276078.205044919,9.420642189321567,100.0,67.82075034738304,86.47611161569368,,36.432353459808176,69.07642324019824,48.666666666666664,28.867519379450464,,129.4628821926422,Value-Add Flip
77,86785,65337,MO,La Monte,"Sedalia, MO",Pettis County,202827.7575559308,8.972173220872133,100.0,67.82075034738304,86.47611161569368,,36.432353459808176,69.07642324019824,48.666666666666664,28.867519379450464,,129.4628821926422,Value-Add Flip
78,87913,68313,NE,Beaver Crossing,"Lincoln, NE",Seward County,273194.1475637104,2.6618667811919146,65.80649122903208,93.52709587772117,81.39407572968189,,59.191980023955345,69.05749734084141,30.166666666666668,28.124392095069688,,225.39332329470403,Value-Add Flip
